scenario,team_profile,workload_profile,completed_tasks_mean,completed_tasks_std,blocked_events_mean,blocked_days_mean,rework_events_mean,flow_efficiency_mean,capacity_utilization_mean
4Q Agile Framework,Equipo distribuido,Alta dependencia,14.620833333333334,2.049121369647287,5.070833333333334,7.284166666666667,2.703333333333333,0.8301633319090469,0.8613433557183557
4Q Agile Framework,Equipo distribuido,Carga alta,17.0975,2.0972185599201136,3.3066666666666666,4.703333333333333,1.9425,0.8797903798298817,0.8708142551892553
4Q Agile Framework,Equipo distribuido,Carga baja,14.21,1.76875862944638,1.585,2.254166666666667,0.9683333333333334,0.9347375995718299,0.8640710215710217
4Q Agile Framework,Equipo distribuido,Carga media,15.555833333333334,1.921360367102552,2.3233333333333333,3.2675,1.34,0.9080368969452973,0.8652716727716728
4Q Agile Framework,Equipo junior,Alta dependencia,12.2075,1.7522373402064217,3.6675,5.301666666666667,2.3641666666666667,0.8436737839186147,0.7358539377289377
4Q Agile Framework,Equipo junior,Carga alta,14.388333333333334,1.8749560276560056,2.375,3.421666666666667,1.645,0.8897243464174933,0.7355769230769231
4Q Agile Framework,Equipo junior,Carga baja,12.006666666666666,1.5891486347648651,1.1158333333333332,1.5858333333333334,0.8608333333333333,0.943732365693904,0.7360164835164835
4Q Agile Framework,Equipo junior,Carga media,13.0375,1.7122705126791424,1.6058333333333332,2.3383333333333334,1.1983333333333333,0.9180658799708635,0.7331639194139195
4Q Agile Framework,Equipo mixto,Alta dependencia,16.83416666666667,2.0599843652828786,4.309166666666667,5.804166666666666,2.7866666666666666,0.8722915350583469,0.8391931216931217
4Q Agile Framework,Equipo mixto,Carga alta,19.338333333333335,2.1635845574732393,2.7933333333333334,3.6791666666666667,1.925,0.9123671315220887,0.8415682234432235
4Q Agile Framework,Equipo mixto,Carga baja,15.9475,1.7632360168288688,1.3941666666666668,1.9241666666666666,1.0133333333333334,0.9515464124770888,0.8384600122100122
4Q Agile Framework,Equipo mixto,Carga media,17.7075,2.063288164162642,1.9508333333333334,2.6566666666666667,1.3708333333333333,0.9346743671787673,0.8428584147334147
4Q Agile Framework,Equipo senior,Alta dependencia,20.984166666666667,2.253474597598986,4.631666666666667,6.043333333333333,3.1075,0.8936160102354902,0.9204226138193531
4Q Agile Framework,Equipo senior,Carga alta,24.605,2.2992855256086746,3.098333333333333,4.0075,2.194166666666667,0.9252899469702859,0.9293486495388669
4Q Agile Framework,Equipo senior,Carga baja,19.409166666666668,1.920891501106038,1.4575,1.8316666666666668,1.1,0.9647951815365378,0.9192697811447812
4Q Agile Framework,Equipo senior,Carga media,21.831666666666667,2.090527639233108,2.0483333333333333,2.658333333333333,1.5041666666666667,0.9511512989339492,0.9238587871468307
JLR-4D adaptado,Equipo distribuido,Alta dependencia,14.003333333333334,2.1549614314873984,6.1675,10.048333333333334,2.9791666666666665,0.7960424012548818,0.8652747252747253
JLR-4D adaptado,Equipo distribuido,Carga alta,16.35333333333333,2.1918391869402116,4.0325,6.734166666666667,2.1325,0.84328593476485,0.8644915038665039
JLR-4D adaptado,Equipo distribuido,Carga baja,13.8925,1.9345272669195894,1.7975,2.8525,1.0333333333333334,0.9225894708189164,0.8666086691086692
