metric,group1,group2,meandiff,p-adj,lower,upper,reject
completed_tasks,4Q Agile Framework,JLR-4D adaptado,-1.0482,0.0,-1.1452,-0.9512,True
completed_tasks,4Q Agile Framework,JLR-4D sin adaptación,-4.486,0.0,-4.583,-4.3891,True
completed_tasks,4Q Agile Framework,Scrum 5 días,2.5374,0.0,2.4405,2.6344,True
completed_tasks,JLR-4D adaptado,JLR-4D sin adaptación,-3.4379,0.0,-3.5348,-3.3409,True
completed_tasks,JLR-4D adaptado,Scrum 5 días,3.5856,0.0,3.4886,3.6826,True
completed_tasks,JLR-4D sin adaptación,Scrum 5 días,7.0235,0.0,6.9265,7.1205,True
blocked_events,4Q Agile Framework,JLR-4D adaptado,0.3222,0.0,0.2559,0.3885,True
blocked_events,4Q Agile Framework,JLR-4D sin adaptación,1.9236,0.0,1.8573,1.9899,True
blocked_events,4Q Agile Framework,Scrum 5 días,0.1214,0.0,0.0551,0.1877,True
blocked_events,JLR-4D adaptado,JLR-4D sin adaptación,1.6014,0.0,1.5351,1.6677,True
blocked_events,JLR-4D adaptado,Scrum 5 días,-0.2008,0.0,-0.2671,-0.1345,True
blocked_events,JLR-4D sin adaptación,Scrum 5 días,-1.8022,0.0,-1.8685,-1.7359,True
blocked_days,4Q Agile Framework,JLR-4D adaptado,1.069,0.0,0.9265,1.2114,True
blocked_days,4Q Agile Framework,JLR-4D sin adaptación,7.302,0.0,7.1595,7.4445,True
blocked_days,4Q Agile Framework,Scrum 5 días,0.3123,0.0,0.1698,0.4548,True
blocked_days,JLR-4D adaptado,JLR-4D sin adaptación,6.233,0.0,6.0905,6.3755,True
blocked_days,JLR-4D adaptado,Scrum 5 días,-0.7567,0.0,-0.8991,-0.6142,True
blocked_days,JLR-4D sin adaptación,Scrum 5 días,-6.9897,0.0,-7.1322,-6.8472,True
rework_events,4Q Agile Framework,JLR-4D adaptado,0.0981,0.0,0.0579,0.1383,True
rework_events,4Q Agile Framework,JLR-4D sin adaptación,0.3546,0.0,0.3145,0.3948,True
rework_events,4Q Agile Framework,Scrum 5 días,0.2165,0.0,0.1763,0.2567,True
rework_events,JLR-4D adaptado,JLR-4D sin adaptación,0.2565,0.0,0.2163,0.2967,True
rework_events,JLR-4D adaptado,Scrum 5 días,0.1184,0.0,0.0782,0.1586,True
rework_events,JLR-4D sin adaptación,Scrum 5 días,-0.1381,0.0,-0.1783,-0.0979,True
flow_efficiency,4Q Agile Framework,JLR-4D adaptado,-0.021,0.0,-0.0236,-0.0183,True
flow_efficiency,4Q Agile Framework,JLR-4D sin adaptación,-0.0825,0.0,-0.0851,-0.0799,True
flow_efficiency,4Q Agile Framework,Scrum 5 días,0.0074,0.0,0.0048,0.01,True
flow_efficiency,JLR-4D adaptado,JLR-4D sin adaptación,-0.0615,0.0,-0.0641,-0.0589,True
flow_efficiency,JLR-4D adaptado,Scrum 5 días,0.0284,0.0,0.0258,0.031,True
flow_efficiency,JLR-4D sin adaptación,Scrum 5 días,0.0899,0.0,0.0873,0.0925,True
capacity_utilization,4Q Agile Framework,JLR-4D adaptado,-0.0464,0.0,-0.0495,-0.0432,True
capacity_utilization,4Q Agile Framework,JLR-4D sin adaptación,-0.0463,0.0,-0.0494,-0.0431,True
capacity_utilization,4Q Agile Framework,Scrum 5 días,0.069,0.0,0.0659,0.0721,True
capacity_utilization,JLR-4D adaptado,JLR-4D sin adaptación,0.0001,0.9997,-0.003,0.0032,False
capacity_utilization,JLR-4D adaptado,Scrum 5 días,0.1154,0.0,0.1123,0.1185,True
capacity_utilization,JLR-4D sin adaptación,Scrum 5 días,0.1153,0.0,0.1121,0.1184,True
