scenario,active_events,experiment_id,sprint_id,team_size,num_tasks,effective_backlog_quality,effective_handoff_quality,effective_meeting_fatigue,effective_morale,event_count,completed_tasks,incomplete_tasks,blocked_events,blocked_days,rework_events,avg_cycle_time_completed_only,avg_lead_time_completed_only,flow_efficiency,capacity_utilization
JLR-4D adaptado,Ajuste salarial,9.054251012145748,5.381376518218623,6.0,41.61538461538461,0.78,0.7685425101214575,0.1326153846153846,0.8210364372469635,1.0,13.503643724696357,28.11174089068826,5.030769230769231,8.151417004048582,8.178137651821862,3.622787893325678,5.041886877987299,0.900215371175731,0.9999509348701052
JLR-4D adaptado,"Ajuste salarial, Ajuste salarial",8.75,6.5,6.0,44.6875,0.828125,0.778125,0.140625,0.9243750000000001,2.0,16.25,28.4375,3.9375,6.5,7.3125,3.1570236604383823,4.804955480944532,0.9189158484255541,1.0
JLR-4D adaptado,"Ajuste salarial, Congelamiento salarial",9.714285714285714,6.642857142857143,6.0,37.142857142857146,0.7571428571428571,0.7464285714285713,0.15857142857142856,0.7214285714285714,2.0,11.571428571428571,25.571428571428573,5.428571428571429,7.714285714285714,8.428571428571429,3.5428829107400537,4.934563749742321,0.9034589216857211,1.0
JLR-4D adaptado,"Ajuste salarial, Contratación",8.583333333333334,4.833333333333333,7.0,46.25,0.8125,0.7875,0.1175,0.8441666666666666,2.0,13.333333333333334,32.916666666666664,7.25,12.166666666666666,9.416666666666666,3.2911469453748867,4.966293469602293,0.8795921937700218,1.0
JLR-4D adaptado,"Ajuste salarial, Despido",7.8,5.3,5.0,40.5,0.795,0.8099999999999999,0.141,0.659,2.0,7.8,32.7,4.9,6.9,6.6,4.114255189255189,5.09552503052503,0.8533368170576179,1.0
JLR-4D adaptado,"Ajuste salarial, Enfermedad",10.95,5.9,6.0,40.25,0.7474999999999999,0.775,0.1625,0.828,2.0,11.3,28.95,6.1,10.55,8.45,3.7898905078839293,4.8341237308013625,0.8805107269115284,1.0
JLR-4D adaptado,"Ajuste salarial, Feedback positivo del cliente",8.583333333333334,4.666666666666667,6.0,38.333333333333336,0.8216666666666667,0.8375,0.10416666666666667,0.8258333333333333,2.0,13.5,24.833333333333332,5.083333333333333,7.5,7.083333333333333,3.43352873977874,5.215348424723425,0.9045326650057639,1.0
JLR-4D adaptado,"Ajuste salarial, Feedback positivo del cliente, Renuncia por baja satisfacción",5.0,10.0,5.0,40.0,0.79,0.5,0.12,0.69,3.0,6.0,34.0,6.0,16.0,12.0,3.3333333333333335,4.833333333333333,0.8571428571428571,1.0
JLR-4D adaptado,"Ajuste salarial, Feedback tardío del cliente",7.666666666666667,6.333333333333333,6.0,44.44444444444444,0.6922222222222222,0.7388888888888889,0.17333333333333334,0.79,2.0,11.444444444444445,33.0,5.444444444444445,10.333333333333334,12.333333333333334,3.6353785103785103,4.7266992266992265,0.8760496396233735,1.0
JLR-4D adaptado,"Ajuste salarial, Feedback tardío del cliente, Renuncia por baja satisfacción",16.0,1.0,5.0,55.0,0.52,0.75,0.12,0.63,3.0,3.0,52.0,11.0,18.0,8.0,3.6666666666666665,3.6666666666666665,0.8888888888888888,1.0
JLR-4D adaptado,"Ajuste salarial, Feriado",9.105263157894736,4.631578947368421,6.0,38.421052631578945,0.7894736842105263,0.7763157894736842,0.1236842105263158,0.7984210526315788,2.0,13.157894736842104,25.263157894736842,3.526315789473684,7.315789473684211,6.368421052631579,3.419945916656443,5.0184257993468515,0.8936614484276698,1.0
JLR-4D adaptado,"Ajuste salarial, Intervención negativa de management",4.142857142857143,6.142857142857143,6.0,48.57142857142857,0.7714285714285715,0.75,0.19,0.7542857142857143,2.0,12.142857142857142,36.42857142857143,5.428571428571429,10.285714285714286,8.0,3.6111626468769322,4.970624613481756,0.8593430164858736,1.0
JLR-4D adaptado,"Ajuste salarial, Intervención negativa de management, Renuncia por baja satisfacción",8.0,4.0,5.0,40.0,0.9,0.9,0.13,0.58,3.0,7.0,33.0,7.0,13.0,5.0,4.714285714285714,6.142857142857143,0.6774193548387096,1.0
JLR-4D adaptado,"Ajuste salarial, Intervención positiva de management",9.846153846153847,6.769230769230769,6.0,41.53846153846154,0.8153846153846155,0.7384615384615384,0.10769230769230768,0.8753846153846154,2.0,14.23076923076923,27.307692307692307,3.923076923076923,6.769230769230769,6.3076923076923075,3.7739599013354668,5.229812099665041,0.9056558502571855,1.0
JLR-4D adaptado,"Ajuste salarial, Intervención positiva de management, Renuncia por baja satisfacción",8.0,4.0,5.0,30.0,0.85,0.7999999999999999,0.22,0.77,3.0,9.0,21.0,3.0,4.0,3.0,5.555555555555555,6.0,0.8888888888888888,1.0
JLR-4D adaptado,"Ajuste salarial, Paternidad/Maternidad",8.125,5.8125,6.0,40.625,0.7625,0.7375,0.1525,0.840625,2.0,11.4375,29.1875,5.375,9.375,7.5,3.764519140989729,4.884901556776557,0.8584647049485545,1.0
JLR-4D adaptado,"Ajuste salarial, Paternidad/Maternidad, Renuncia por baja satisfacción",6.0,1.5,5.0,40.0,0.9,0.9,0.07500000000000001,0.705,3.0,6.0,34.0,7.5,9.0,5.0,3.4,4.1,0.8947368421052632,1.0
JLR-4D adaptado,"Ajuste salarial, Presión de deadline",6.357142857142857,5.428571428571429,6.0,46.07142857142857,0.8178571428571428,0.7964285714285715,0.165,0.775,2.0,11.357142857142858,34.714285714285715,6.857142857142857,11.357142857142858,11.357142857142858,3.7652187724556145,5.02601265693371,0.8873931265528862,1.0
JLR-4D adaptado,"Ajuste salarial, Renuncia",8.583333333333334,5.0,5.0,41.666666666666664,0.7791666666666667,0.7541666666666668,0.15916666666666668,0.6633333333333332,2.0,5.916666666666667,35.75,6.25,9.666666666666666,6.5,3.673875661375661,4.6437169312169315,0.7530269384617211,1.0
JLR-4D adaptado,"Ajuste salarial, Renuncia por baja satisfacción",9.8,6.036363636363636,5.0,42.81818181818182,0.7663636363636364,0.7754545454545454,0.12272727272727273,0.6756363636363636,2.0,7.3090909090909095,35.50909090909091,5.654545454545454,9.2,7.090909090909091,3.9873504778050233,5.153164461800825,0.864045487291596,1.0
JLR-4D adaptado,"Ajuste salarial, Renuncia por baja satisfacción, Despido",4.0,9.0,4.0,55.0,0.9,0.9,0.05,0.48,3.0,4.0,51.0,6.0,6.0,2.0,3.0,4.25,0.9166666666666666,1.0
JLR-4D adaptado,"Ajuste salarial, Renuncia por baja satisfacción, Feriado",14.0,7.0,5.0,40.0,0.75,0.5,0.12,0.8099999999999999,3.0,12.0,28.0,1.0,0.0,4.0,2.6666666666666665,5.25,1.0,1.0
JLR-4D adaptado,"Ajuste salarial, Renuncia por baja satisfacción, Intervención positiva de management, Renuncia por baja satisfacción",4.0,2.0,4.0,40.0,1.0,0.9500000000000001,0.020000000000000004,0.6,4.0,8.0,32.0,1.0,1.0,1.0,3.0,5.25,0.9565217391304348,1.0
JLR-4D adaptado,"Ajuste salarial, Renuncia por baja satisfacción, Paternidad/Maternidad",16.0,6.0,5.0,40.0,0.65,0.85,0.12,0.73,3.0,3.0,37.0,5.0,7.0,7.0,2.0,3.0,1.0,1.0
JLR-4D adaptado,"Ajuste salarial, Renuncia por baja satisfacción, Presión de deadline",8.0,7.0,5.0,40.0,0.7999999999999999,0.7999999999999999,0.3,0.6000000000000001,3.0,5.0,35.0,10.0,19.0,12.0,4.6,5.0,0.6666666666666666,1.0
JLR-4D adaptado,"Ajuste salarial, Renuncia por baja satisfacción, Renuncia",13.0,5.0,4.0,40.0,0.8,0.8,0.1,0.54,3.0,7.0,33.0,3.0,3.0,2.0,4.428571428571429,5.428571428571429,0.85,1.0
JLR-4D adaptado,"Ajuste salarial, Renuncia, Renuncia por baja satisfacción",9.5,6.0,4.0,47.5,0.85,0.6,0.12,0.555,3.0,4.5,43.0,5.0,9.0,4.0,4.0,4.666666666666666,0.7785714285714285,1.0
