metric,group1,group2,meandiff,p-adj,lower,upper,reject
completed_tasks,4Q Agile Framework,JLR-4D adaptado,-0.2931,0.0,-0.3871,-0.1992,True
completed_tasks,4Q Agile Framework,JLR-4D sin adaptación,-4.1476,0.0,-4.2416,-4.0536,True
completed_tasks,4Q Agile Framework,Scrum 5 días,3.2698,0.0,3.1759,3.3638,True
completed_tasks,JLR-4D adaptado,JLR-4D sin adaptación,-3.8545,0.0,-3.9484,-3.7605,True
completed_tasks,JLR-4D adaptado,Scrum 5 días,3.563,0.0,3.469,3.6569,True
completed_tasks,JLR-4D sin adaptación,Scrum 5 días,7.4174,0.0,7.3235,7.5114,True
blocked_events,4Q Agile Framework,JLR-4D adaptado,0.5509,0.0,0.4858,0.6161,True
blocked_events,4Q Agile Framework,JLR-4D sin adaptación,1.8969,0.0,1.8318,1.9621,True
blocked_events,4Q Agile Framework,Scrum 5 días,0.3309,0.0,0.2658,0.3961,True
blocked_events,JLR-4D adaptado,JLR-4D sin adaptación,1.346,0.0,1.2808,1.4111,True
blocked_events,JLR-4D adaptado,Scrum 5 días,-0.22,0.0,-0.2851,-0.1549,True
blocked_events,JLR-4D sin adaptación,Scrum 5 días,-1.566,0.0,-1.6311,-1.5008,True
blocked_days,4Q Agile Framework,JLR-4D adaptado,1.7045,0.0,1.5658,1.8432,True
blocked_days,4Q Agile Framework,JLR-4D sin adaptación,7.3818,0.0,7.2431,7.5205,True
blocked_days,4Q Agile Framework,Scrum 5 días,0.9457,0.0,0.807,1.0844,True
blocked_days,JLR-4D adaptado,JLR-4D sin adaptación,5.6772,0.0,5.5385,5.8159,True
blocked_days,JLR-4D adaptado,Scrum 5 días,-0.7588,0.0,-0.8975,-0.6201,True
blocked_days,JLR-4D sin adaptación,Scrum 5 días,-6.436,0.0,-6.5747,-6.2973,True
rework_events,4Q Agile Framework,JLR-4D adaptado,0.1884,0.0,0.1489,0.2279,True
rework_events,4Q Agile Framework,JLR-4D sin adaptación,0.3539,0.0,0.3144,0.3933,True
rework_events,4Q Agile Framework,Scrum 5 días,0.3169,0.0,0.2774,0.3563,True
rework_events,JLR-4D adaptado,JLR-4D sin adaptación,0.1655,0.0,0.126,0.2049,True
rework_events,JLR-4D adaptado,Scrum 5 días,0.1285,0.0,0.089,0.168,True
rework_events,JLR-4D sin adaptación,Scrum 5 días,-0.037,0.0758,-0.0764,0.0025,False
flow_efficiency,4Q Agile Framework,JLR-4D adaptado,-0.0292,0.0,-0.0318,-0.0265,True
flow_efficiency,4Q Agile Framework,JLR-4D sin adaptación,-0.0882,0.0,-0.0908,-0.0855,True
flow_efficiency,4Q Agile Framework,Scrum 5 días,0.0002,0.9987,-0.0025,0.0028,False
flow_efficiency,JLR-4D adaptado,JLR-4D sin adaptación,-0.059,0.0,-0.0617,-0.0564,True
flow_efficiency,JLR-4D adaptado,Scrum 5 días,0.0293,0.0,0.0267,0.032,True
flow_efficiency,JLR-4D sin adaptación,Scrum 5 días,0.0883,0.0,0.0857,0.091,True
capacity_utilization,4Q Agile Framework,JLR-4D adaptado,-0.0484,0.0,-0.0513,-0.0454,True
capacity_utilization,4Q Agile Framework,JLR-4D sin adaptación,-0.0516,0.0,-0.0545,-0.0486,True
capacity_utilization,4Q Agile Framework,Scrum 5 días,0.0659,0.0,0.063,0.0689,True
capacity_utilization,JLR-4D adaptado,JLR-4D sin adaptación,-0.0032,0.0291,-0.0061,-0.0002,True
capacity_utilization,JLR-4D adaptado,Scrum 5 días,0.1143,0.0,0.1114,0.1172,True
capacity_utilization,JLR-4D sin adaptación,Scrum 5 días,0.1175,0.0,0.1145,0.1204,True
throughput_per_devday,4Q Agile Framework,JLR-4D adaptado,-0.0427,0.0,-0.0445,-0.0409,True
throughput_per_devday,4Q Agile Framework,JLR-4D sin adaptación,-0.0864,0.0,-0.0882,-0.0846,True
throughput_per_devday,4Q Agile Framework,Scrum 5 días,-0.0127,0.0,-0.0145,-0.0109,True
throughput_per_devday,JLR-4D adaptado,JLR-4D sin adaptación,-0.0437,0.0,-0.0455,-0.0419,True
throughput_per_devday,JLR-4D adaptado,Scrum 5 días,0.0301,0.0,0.0283,0.0319,True
throughput_per_devday,JLR-4D sin adaptación,Scrum 5 días,0.0737,0.0,0.0719,0.0755,True
avg_cycle_time_completed_only,4Q Agile Framework,JLR-4D adaptado,0.091,0.0,0.0802,0.1018,True
avg_cycle_time_completed_only,4Q Agile Framework,JLR-4D sin adaptación,0.179,0.0,0.1682,0.1898,True
avg_cycle_time_completed_only,4Q Agile Framework,Scrum 5 días,0.1179,0.0,0.1071,0.1287,True
avg_cycle_time_completed_only,JLR-4D adaptado,JLR-4D sin adaptación,0.0881,0.0,0.0773,0.0989,True
avg_cycle_time_completed_only,JLR-4D adaptado,Scrum 5 días,0.027,0.0,0.0162,0.0377,True
avg_cycle_time_completed_only,JLR-4D sin adaptación,Scrum 5 días,-0.0611,0.0,-0.0719,-0.0503,True
avg_lead_time_completed_only,4Q Agile Framework,JLR-4D adaptado,-0.0569,0.0,-0.0675,-0.0463,True
avg_lead_time_completed_only,4Q Agile Framework,JLR-4D sin adaptación,-0.1797,0.0,-0.1902,-0.1691,True
avg_lead_time_completed_only,4Q Agile Framework,Scrum 5 días,-0.0531,0.0,-0.0637,-0.0425,True
avg_lead_time_completed_only,JLR-4D adaptado,JLR-4D sin adaptación,-0.1227,0.0,-0.1333,-0.1121,True
avg_lead_time_completed_only,JLR-4D adaptado,Scrum 5 días,0.0039,0.7844,-0.0067,0.0145,False
avg_lead_time_completed_only,JLR-4D sin adaptación,Scrum 5 días,0.1266,0.0,0.116,0.1372,True
